gender,first_cycle,last_cycle,antidepressant_change_points,unemployment_change_points,nontraditional_jobs_change_points
Female,2003-2004,2017-2020,-0.613203216201681,,-0.676892488
Male,2003-2004,2017-2020,1.3256083822495535,,0.577570776
